gene,n_sequences,n_correct,accuracy
RPL6,83,83,1.0
YAP1,41,41,1.0
NOX1,29,29,1.0
ULK1,25,25,1.0
NOX4,22,22,1.0
QSOX1,17,17,1.0
ALOX5,15,15,1.0
AQP3,13,13,1.0
AQP8,13,13,1.0
HMGB1,13,13,1.0
NCOA4,13,13,1.0
TAS1R2,13,13,1.0
CHP1,12,12,1.0
PEBP1,12,12,1.0
SIRT3,10,10,1.0
ATF4,9,9,1.0
EPT1,9,9,1.0
CDCA3,8,8,1.0
PFN1,8,8,1.0
RPL13A,8,8,1.0
ALOX12B_2025_12_26,7,7,1.0
CYB5R1,7,7,1.0
GLS2,7,7,1.0
LONP1,7,7,1.0
TSC1,7,7,1.0
WWTR1,7,7,1.0
ADAM23,6,6,1.0
ALDH1A1,6,6,1.0
EPAS1,6,6,1.0
GADD45B,6,6,1.0
HTR2A,6,6,1.0
KDM5A,6,6,1.0
KRT1,6,6,1.0
NOX3,6,6,1.0
PTH1R,6,6,1.0
ALOX15,5,5,1.0
DCAF7,5,5,1.0
GPAT4,5,5,1.0
KDM5C,5,5,1.0
KLF2,5,5,1.0
MYH10,5,5,1.0
PAQR3,5,5,1.0
SMAD7,5,5,1.0
USP11,5,5,1.0
ANAPC7,4,4,1.0
ATG16L1,4,4,1.0
CLTRN,4,4,1.0
HMOX1,4,4,1.0
SLC40A1,4,4,1.0
SRSF2,4,4,1.0
CARS1,3,3,1.0
CYGB,3,3,1.0
CYP2E1,3,3,1.0
FOXO4,3,3,1.0
MAPK3,3,3,1.0
YWHAZ,3,3,1.0
ACVR1B,2,2,1.0
ALOX15B,2,2,1.0
AVPR1A,2,2,1.0
COX4I2,2,2,1.0
CYP4F8,2,2,1.0
EGLN2,2,2,1.0
GJA1,2,2,1.0
HILPDA,2,2,1.0
NR1D1,2,2,1.0
NR1D2,2,2,1.0
SNX5,2,2,1.0
TFRC,2,2,1.0
AQP5,1,1,1.0
EIF2S1,1,1,1.0
PTGS2,1,1,1.0
POR,2583,2561,0.9914827719705769
SAT1,1354,1342,0.9911373707533235
ACSF2,80,79,0.9875
PEX6,77,76,0.987012987012987
RPS10,67,66,0.9850746268656716
INTS2,108,106,0.9814814814814815
BECN1,42,41,0.9761904761904762
SCP2,1476,1440,0.975609756097561
FAR1,1913,1866,0.9754312598013591
RPL3,40,39,0.975
RPL15,79,77,0.9746835443037974
EGR1,34,33,0.9705882352941176
RPS18,64,62,0.96875
PEX3,29,28,0.9655172413793104
RAD9A,56,54,0.9642857142857143
ATG13,54,52,0.9629629629629629
CHAC1,27,26,0.9629629629629629
DPP4,27,26,0.9629629629629629
PEX10,27,26,0.9629629629629629
RPL18,76,73,0.9605263157894737
PEX12,72,69,0.9583333333333334
TF,1594,1524,0.9560853199498118
CGAS,22,21,0.9545454545454546
TLR4,22,21,0.9545454545454546
RDX,106,101,0.9528301886792453
PEX2,1983,1882,0.9490670700958144
RPL34,19,18,0.9473684210526315
AMN,671,634,0.9448584202682563
FBXW7,18,17,0.9444444444444444
LEPR,195,184,0.9435897435897436
ATG5,35,33,0.9428571428571428
RPS2,155,146,0.9419354838709677
ATM,1351,1271,0.9407846039970392
RPL4,49,46,0.9387755102040817
DDR2,16,15,0.9375
LYZ,16,15,0.9375
SMG9,47,44,0.9361702127659575
RPS5,31,29,0.9354838709677419
HIF1A,15,14,0.9333333333333333
RPL14,102,95,0.9313725490196079
PTEN,58,54,0.9310344827586207
GOT1,72,67,0.9305555555555556
RPL19,28,26,0.9285714285714286
GPX4,14,13,0.9285714285714286
DLD,69,64,0.927536231884058
BID,55,51,0.9272727272727272
RAD17,108,100,0.9259259259259259
HSPB1,39,36,0.9230769230769231
ACSL1,13,12,0.9230769230769231
GSK3B,25,23,0.92
MAPT,36,33,0.9166666666666666
PRKCA,24,22,0.9166666666666666
ADRB2,12,11,0.9166666666666666
ELOVL5,12,11,0.9166666666666666
SMPD1,12,11,0.9166666666666666
ZEB1,12,11,0.9166666666666666
PPIA,101,92,0.9108910891089109
CCND3,11,10,0.9090909090909091
GSTZ1,11,10,0.9090909090909091
MAP2,74,67,0.9054054054054054
KMT2D,21,19,0.9047619047619048
TAZ,246,222,0.9024390243902439
RPS8,82,74,0.9024390243902439
CD82,30,27,0.9
CCT5,10,9,0.9
LPCAT3,10,9,0.9
PON1,10,9,0.9
SSTR2,10,9,0.9
TGFB1,10,9,0.9
RPL12,276,247,0.894927536231884
CYBB,38,34,0.8947368421052632
SKP1,628,560,0.89171974522293
TP53,73,65,0.8904109589041096
MAD2L1,27,24,0.8888888888888888
BACH1,18,16,0.8888888888888888
EEF1G,9,8,0.8888888888888888
FADS2,9,8,0.8888888888888888
GRIA3,9,8,0.8888888888888888
KRT8,9,8,0.8888888888888888
MAPK1,9,8,0.8888888888888888
MC1R,9,8,0.8888888888888888
U2AF1,9,8,0.8888888888888888
AGPS,17,15,0.8823529411764706
LIPG,17,15,0.8823529411764706
KRAS,24,21,0.875
ALOXE3,16,14,0.875
GHRHR,16,14,0.875
SNX4,16,14,0.875
TTPA,16,14,0.875
ATF3,8,7,0.875
GSTM1,8,7,0.875
SRSF1,8,7,0.875
SDHA,115,100,0.8695652173913043
CFL1,318,276,0.8679245283018868
RPL20,121,105,0.8677685950413223
ALDH2,15,13,0.8666666666666667
SRSF3,15,13,0.8666666666666667
ATG4D,22,19,0.8636363636363636
EIF4G1,22,19,0.8636363636363636
MAPK8,22,19,0.8636363636363636
GAPDH,135,116,0.8592592592592593
FLNA,28,24,0.8571428571428571
CTSB,21,18,0.8571428571428571
FGB,14,12,0.8571428571428571
NOX5,14,12,0.8571428571428571
NEFL,7,6,0.8571428571428571
SNCA,7,6,0.8571428571428571
SOCS1,7,6,0.8571428571428571
WIPI2,7,6,0.8571428571428571
G6PD,55,47,0.8545454545454545
TBK1,34,29,0.8529411764705882
ACSL4,13,11,0.8461538461538461
GRM3,13,11,0.8461538461538461
HDDC3,13,11,0.8461538461538461
IDH1,13,11,0.8461538461538461
AEBP2,32,27,0.84375
FTH1,134,113,0.8432835820895522
RPL32,183,154,0.8415300546448088
RPL10,69,58,0.8405797101449275
RPL17,30,25,0.8333333333333334
BRD7,12,10,0.8333333333333334
CCT3,12,10,0.8333333333333334
KDM6B,12,10,0.8333333333333334
ADRA2A,6,5,0.8333333333333334
AGPAT3,6,5,0.8333333333333334
CPEB1,6,5,0.8333333333333334
NFE2L2,6,5,0.8333333333333334
EGFR,35,29,0.8285714285714286
TPMT,52,43,0.8269230769230769
POLR2A,17,14,0.8235294117647058
RPLP1,17,14,0.8235294117647058
RPL35,56,46,0.8214285714285714
ATG3,28,23,0.8214285714285714
TBP,250,205,0.82
HSPA9,11,9,0.8181818181818182
PSMD1,11,9,0.8181818181818182
ANAPC5,290,237,0.8172413793103448
EXO1,71,58,0.8169014084507042
ABCC1,43,35,0.813953488372093
DNAJB6,21,17,0.8095238095238095
RPS6,67,54,0.8059701492537313
NEFH,35,28,0.8
USP7,20,16,0.8
HSPA8,10,8,0.8
PSMB5,10,8,0.8
RPL7,10,8,0.8
CKS1B,5,4,0.8
DRD2,5,4,0.8
EIF2S2,5,4,0.8
PSMA1,5,4,0.8
UBE2L3,5,4,0.8
EMC2,14,11,0.7857142857142857
BRPF1,18,14,0.7777777777777778
CCND2,9,7,0.7777777777777778
GADD45A,9,7,0.7777777777777778
HNRNPC,9,7,0.7777777777777778
HNRNPU,9,7,0.7777777777777778
IDO1,9,7,0.7777777777777778
LGMN,9,7,0.7777777777777778
PUM2,9,7,0.7777777777777778
BUB3,79,61,0.7721518987341772
LIG1,78,60,0.7692307692307693
DES,59,45,0.7627118644067796
RFC1,63,48,0.7619047619047619
HNRNPA1,21,16,0.7619047619047619
ATG7,76,57,0.75
CUL1,24,18,0.75
CDKN2A,16,12,0.75
DPEP1,12,9,0.75
HNRNPK,12,9,0.75
MAP1B,12,9,0.75
PTPN6,4,3,0.75
FEN1,439,328,0.7471526195899773
FLNB,19,14,0.7368421052631579
SIRT1,34,25,0.7352941176470589
SF3B1,15,11,0.7333333333333333
FLT3,22,16,0.7272727272727273
NEFM,11,8,0.7272727272727273
RPL30,100,72,0.72
ELAVL1,7,5,0.7142857142857143
PRKAA2,7,5,0.7142857142857143
UBE2D2,7,5,0.7142857142857143
EIF3A,45,32,0.7111111111111111
PGK1,34,24,0.7058823529411765
DUOX2,10,7,0.7
EIF3B,13,9,0.6923076923076923
TMEM173,13,9,0.6923076923076923
EEF2,16,11,0.6875
ACO1,19,13,0.6842105263157895
CDKN3,19,13,0.6842105263157895
CDO1,12,8,0.6666666666666666
LIFR,9,6,0.6666666666666666
CCDC6,6,4,0.6666666666666666
KEAP1,6,4,0.6666666666666666
NRAS,6,4,0.6666666666666666
ALOX12,3,2,0.6666666666666666
ANO6,3,2,0.6666666666666666
EZR,3,2,0.6666666666666666
IREB2,3,2,0.6666666666666666
PSMC3,17,11,0.6470588235294118
GABBR1,14,9,0.6428571428571429
BAP1,16,10,0.625
HPRT1,8,5,0.625
RFC4,8,5,0.625
ATP1A1,13,8,0.6153846153846154
RPLP0,13,8,0.6153846153846154
PGD,698,428,0.6131805157593123
RPL21,437,267,0.6109839816933639
HMBS,10,6,0.6
ALDOA,5,3,0.6
CCT2,12,7,0.5833333333333334
PRPF8,12,7,0.5833333333333334
SLC11A2,12,7,0.5833333333333334
LIG3,16,9,0.5625
CCT7,9,5,0.5555555555555556
SLC2A1,13,7,0.5384615384615384
CFTR,28,15,0.5357142857142857
ACADSB,6,3,0.5
RPL8,6,3,0.5
SLC38A1,6,3,0.5
HSP90AB1,4,2,0.5
PUM1,4,2,0.5
UBE2N,4,2,0.5
FADS1,2,1,0.5
MSN,2,1,0.5
SLC1A5,2,1,0.5
TFR2,2,1,0.5
CKS2,7,3,0.42857142857142855
MYH9,10,4,0.4
INSR,11,4,0.36363636363636365
RXFP1,12,4,0.3333333333333333
HSP90AA1,6,2,0.3333333333333333
PSMA2,6,2,0.3333333333333333
EEF1A1,3,1,0.3333333333333333
GUSB,12,3,0.25
UBB,6,1,0.16666666666666666
EIF4A1,5,0,0.0
FZD7,3,0,0.0
ATP5MC3,1,0,0.0
OXTR,1,0,0.0
